### 2016-02-09 14:00:50.959422009 +0100 CET Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(º/s), gyrY(º/s), gyrZ(º/s) 

[Ard], 3098509, 0, 1634686748, 95, 0.765625, -0.574463, -0.324463, 1.274809, 1.809160, 0.366412
[Ard], 3137526, 0, 1634726268, 94, 0.764160, -0.571289, -0.318848, 1.297710, 1.748092, 0.465649
[Ard], 3169421, 0, 1634765788, 95, 0.762451, -0.568359, -0.325439, 1.305344, 1.763359, 0.396947
[Ard], 3221302, 0, 1634805308, 95, 0.767578, -0.573975, -0.327393, 1.091603, 1.648855, 0.450382
[Ard], 3257977, 0, 1634844828, 94, 0.767822, -0.570557, -0.315430, 1.236641, 1.740458, 0.435115
[Ard], 3297294, 0, 1634884348, 95, 0.767578, -0.569580, -0.318115, 0.969466, 1.625954, 0.496183
[Ard], 3342704, 0, 1634923868, 94, 0.761230, -0.571777, -0.310059, 1.328244, 1.732824, 0.511450
[Ard], 3407529, 0, 1634963388, 95, 0.767090, -0.566895, -0.316650, 1.129771, 1.748092, 0.320611
[Ard], 3427862, 0, 1635002908, 94, 0.771973, -0.572266, -0.319580, 1.030534, 1.862595, 0.374046
[Ard], 3469924, 0, 1635042428, 94, 0.763428, -0.575195, -0.321777, 1.534351, 1.862595, 0.557252
[Ard], 3482700, 0, 1635081948, 95, 0.762451, -0.569336, -0.326660, 1.053435, 1.725191, 0.496183
[Ard], 3537999, 0, 1635121468, 94, 0.763672, -0.567627, -0.328125, 1.381679, 1.847328, 0.374046
[Ard], 3576632, 0, 1635160988, 95, 0.760986, -0.563477, -0.320312, 1.106870, 1.732824, 0.549618
[Ard], 3619406, 0, 1635200508, 94, 0.764648, -0.569824, -0.315186, 1.213740, 1.587786, 0.366412
[Ard], 3657271, 0, 1635240028, 94, 0.765625, -0.572998, -0.317383, 1.297710, 1.748092, 0.503817
[Ard], 3700617, 0, 1635279548, 95, 0.767822, -0.567627, -0.324463, 1.305344, 1.702290, 0.488550
[Ard], 3726470, 0, 1635319068, 94, 0.772461, -0.566162, -0.319092, 1.152672, 1.656489, 0.450382
[Ard], 3767915, 0, 1635358588, 95, 0.767822, -0.574463, -0.313232, 1.152672, 1.786260, 0.450382
[Ard], 3888078, 0, 1635398108, 94, 0.766357, -0.567627, -0.318115, 1.213740, 1.656489, 0.541985
[Ard], 3890881, 0, 1635437628, 94, 0.767822, -0.566895, -0.324707, 1.320611, 1.870229, 0.496183
[Ard], 3907642, 0, 1635477148, 95, 0.764893, -0.573975, -0.323486, 1.259542, 1.755725, 0.496183
[Ard], 3932651, 0, 1635516668, 94, 0.763916, -0.570801, -0.320801, 1.190840, 1.687023, 0.549618
[Ard], 3973140, 0, 1635556188, 95, 0.766357, -0.568604, -0.322266, 1.274809, 1.748092, 0.534351
[Ard], 4013059, 0, 1635595708, 94, 0.768799, -0.566895, -0.318604, 1.083969, 1.694656, 0.389313
[Ard], 4065764, 0, 1635635228, 94, 0.763428, -0.569092, -0.318848, 1.213740, 1.603053, 0.465649
[Ard], 4098472, 0, 1635674748, 95, 0.765869, -0.569824, -0.322754, 1.167939, 1.748092, 0.480916
[Ard], 4148066, 0, 1635714268, 94, 0.766846, -0.570312, -0.321777, 1.229008, 1.778626, 0.450382
[Ard], 4167695, 0, 1635753788, 95, 0.761230, -0.572021, -0.318604, 1.259542, 1.702290, 0.618321
[Ard], 4227850, 0, 1635793308, 94, 0.770264, -0.565918, -0.324707, 1.221374, 1.740458, 0.412214
[Ard], 4261320, 0, 1635832828, 94, 0.768799, -0.567383, -0.321045, 1.198473, 1.717557, 0.496183
[Ard], 4289567, 0, 1635872348, 95, 0.770508, -0.564209, -0.315186, 1.229008, 1.786260, 0.549618
[Ard], 4325589, 0, 1635911868, 94, 0.761963, -0.569336, -0.322266, 1.244275, 1.709924, 0.374046
[Ard], 4366216, 0, 1635951388, 95, 0.770020, -0.568848, -0.318848, 1.366412, 1.801527, 0.496183
[Ard], 4427700, 0, 1635990908, 94, 0.764160, -0.563965, -0.321533, 1.106870, 1.664122, 0.320611
[Ard], 4478189, 0, 1636030428, 95, 0.769043, -0.571289, -0.319580, 1.221374, 1.656489, 0.572519
[Ard], 4480722, 0, 1636069948, 95, 0.766113, -0.575439, -0.322266, 1.137405, 1.786260, 0.610687
[Ard], 4528228, 0, 1636109468, 94, 0.769775, -0.571045, -0.320068, 1.335878, 1.885496, 0.572519
[Ard], 4589342, 0, 1636148988, 95, 0.766113, -0.575439, -0.311523, 1.305344, 1.656489, 0.435115
[Ard], 4727109, 0, 1636188508, 94, 0.768555, -0.564453, -0.323242, 1.297710, 1.755725, 0.366412
[Ard], 4729570, 0, 1636228028, 95, 0.764404, -0.567383, -0.314453, 1.137405, 1.824427, 0.389313
[Ard], 4731891, 0, 1636267548, 95, 0.770264, -0.567627, -0.313232, 1.267176, 1.839695, 0.374046
[Ard], 4734367, 0, 1636307068, 94, 0.766846, -0.569580, -0.319092, 1.229008, 1.633588, 0.564885
[Ard], 4753935, 0, 1636346588, 95, 0.765869, -0.572998, -0.303711, 1.274809, 1.778626, 0.427481
[Ard], 4804494, 0, 1636386108, 94, 0.765869, -0.566650, -0.324463, 1.145038, 1.755725, 0.450382
[Ard], 4850089, 0, 1636425628, 95, 0.763916, -0.576904, -0.312500, 1.358779, 1.839695, 0.549618
[Ard], 4893260, 0, 1636465148, 94, 0.769287, -0.570801, -0.310791, 1.091603, 1.633588, 0.358779
[Ard], 4917194, 0, 1636504668, 94, 0.765381, -0.564941, -0.316406, 1.305344, 1.664122, 0.519084
[Ard], 4953063, 0, 1636544188, 95, 0.765625, -0.568115, -0.320312, 1.076336, 1.717557, 0.419847
[Ard], 5007321, 0, 1636583708, 94, 0.762451, -0.568604, -0.322510, 1.297710, 1.893130, 0.526718
[Ard], 5031702, 0, 1636623228, 95, 0.766846, -0.565430, -0.324951, 1.213740, 1.725191, 0.381679
[Ard], 5077370, 0, 1636662748, 94, 0.765137, -0.572754, -0.314209, 1.396947, 1.801527, 0.343511
[Ard], 5129249, 0, 1636702268, 94, 0.770996, -0.567871, -0.317139, 1.396947, 1.809160, 0.412214
[Ard], 5207613, 0, 1636741788, 95, 0.764648, -0.565918, -0.322266, 1.167939, 1.587786, 0.549618
[Ard], 5228094, 0, 1636781308, 94, 0.767822, -0.569092, -0.322021, 1.183206, 1.870229, 0.358779
[Ard], 5246816, 0, 1636820828, 95, 0.766113, -0.571045, -0.316650, 1.244275, 1.725191, 0.435115
[Ard], 5268219, 0, 1636860348, 94, 0.771240, -0.567627, -0.308105, 1.244275, 1.847328, 0.404580
[Ard], 5307786, 0, 1636899868, 94, 0.763428, -0.568848, -0.318604, 1.030534, 1.755725, 0.389313
[Ard], 5345122, 0, 1636939388, 95, 0.769287, -0.567871, -0.318604, 1.244275, 1.824427, 0.290076
[Ard], 5387535, 0, 1636978908, 94, 0.763916, -0.573975, -0.313232, 1.351145, 1.603053, 0.503817
[Ard], 5547217, 0, 1637018428, 95, 0.766602, -0.569824, -0.316650, 1.183206, 1.824427, 0.412214
[Ard], 5549667, 0, 1637057948, 94, 0.765137, -0.573486, -0.314453, 1.145038, 1.717557, 0.473282
[Ard], 5553093, 0, 1637097468, 94, 0.768799, -0.568604, -0.323975, 1.167939, 1.755725, 0.519084
[Ard], 5558301, 0, 1637136988, 95, 0.765869, -0.563965, -0.319092, 1.290076, 1.877863, 0.435115
[Ard], 5570051, 0, 1637176508, 94, 0.772705, -0.565674, -0.320312, 1.175573, 1.755725, 0.358779
[Ard], 5630692, 0, 1637216028, 95, 0.763672, -0.573242, -0.317139, 1.167939, 1.618321, 0.404580
[Ard], 5675815, 0, 1637255548, 94, 0.771729, -0.568359, -0.318848, 1.198473, 1.793893, 0.511450
[Ard], 5718256, 0, 1637295068, 95, 0.766846, -0.565918, -0.320312, 1.244275, 1.862595, 0.312977
[Ard], 5763746, 0, 1637334588, 95, 0.766113, -0.564453, -0.322754, 1.396947, 1.786260, 0.305344
[Ard], 5800148, 0, 1637374108, 94, 0.772461, -0.567139, -0.317627, 1.030534, 1.656489, 0.511450
[Ard], 5821715, 0, 1637413628, 95, 0.766846, -0.563477, -0.317139, 1.381679, 1.778626, 0.229008
[Ard], 5859066, 0, 1637453148, 94, 0.764648, -0.565918, -0.314209, 1.236641, 1.793893, 0.580153
[Ard], 5938966, 0, 1637492668, 95, 0.763672, -0.569336, -0.320068, 1.045802, 1.816794, 0.496183
[Ard], 5960795, 0, 1637532188, 94, 0.762695, -0.567139, -0.317627, 1.267176, 1.671756, 0.427481
[Ard], 5969335, 0, 1637571708, 94, 0.766846, -0.569336, -0.318604, 1.213740, 1.625954, 0.458015
[Ard], 6007829, 0, 1637611228, 95, 0.769287, -0.567627, -0.314697, 1.473282, 1.763359, 0.587786
[Ard], 6048074, 0, 1637650748, 94, 0.763184, -0.570312, -0.321533, 1.251908, 1.694656, 0.541985
[Ard], 6102832, 0, 1637690268, 95, 0.764404, -0.567627, -0.313721, 1.206107, 1.648855, 0.412214
[Ard], 6145856, 0, 1637729788, 94, 0.770752, -0.561279, -0.320312, 1.244275, 1.809160, 0.366412
[Ard], 6187690, 0, 1637769308, 94, 0.763916, -0.570312, -0.317627, 1.137405, 1.709924, 0.412214
[Ard], 6225833, 0, 1637808828, 95, 0.767578, -0.568604, -0.317627, 1.290076, 1.786260, 0.358779
[Ard], 6325006, 0, 1637848348, 94, 0.769287, -0.563965, -0.326660, 1.267176, 1.549618, 0.496183
[Ard], 6327494, 0, 1637887868, 95, 0.767334, -0.565430, -0.324951, 1.297710, 1.801527, 0.465649
[Ard], 6329910, 0, 1637927388, 94, 0.769043, -0.565918, -0.323486, 1.229008, 1.877863, 0.358779
[Ard], 6371320, 0, 1637966908, 94, 0.772217, -0.569824, -0.318115, 1.511450, 1.694656, 0.580153
[Ard], 6420252, 0, 1638006428, 95, 0.768066, -0.568115, -0.316406, 1.206107, 1.687023, 0.335878
[Ard], 6467341, 0, 1638045948, 94, 0.772461, -0.568115, -0.320068, 1.259542, 1.694656, 0.404580
[Ard], 6507038, 0, 1638085468, 95, 0.766846, -0.567627, -0.326416, 1.358779, 1.717557, 0.381679
[Ard], 6560146, 0, 1638124988, 94, 0.763672, -0.565186, -0.321289, 1.122137, 1.816794, 0.526718
[Ard], 6591547, 0, 1638164508, 94, 0.764893, -0.567871, -0.320312, 1.374046, 1.809160, 0.496183
[Ard], 6603190, 0, 1638204028, 95, 0.764404, -0.571777, -0.320557, 1.236641, 1.748092, 0.381679
[Ard], 6646465, 0, 1638243548, 94, 0.770752, -0.565918, -0.315430, 1.335878, 1.709924, 0.412214
[Ard], 6694276, 0, 1638283068, 95, 0.760254, -0.565674, -0.312988, 1.351145, 1.725191, 0.328244
[Ard], 6908905, 0, 1638322588, 94, 0.766357, -0.566162, -0.312500, 1.167939, 1.648855, 0.404580
[Ard], 6911326, 0, 1638362108, 94, 0.765869, -0.572998, -0.312988, 1.396947, 1.839695, 0.450382
[Ard], 6913835, 0, 1638401628, 95, 0.768555, -0.565918, -0.324707, 1.297710, 1.671756, 0.503817
[Ard], 6916246, 0, 1638441148, 94, 0.767334, -0.568848, -0.321289, 1.312977, 1.557252, 0.343511
[Ard], 6919118, 0, 1638480668, 95, 0.766113, -0.567139, -0.316162, 1.206107, 1.687023, 0.389313
[Ard], 6927388, 0, 1638520188, 94, 0.759033, -0.563477, -0.319824, 1.351145, 1.633588, 0.419847
[Ard], 6989079, 0, 1638559708, 95, 0.768799, -0.566895, -0.317383, 1.358779, 1.748092, 0.480916
[Ard], 6998993, 0, 1638599228, 95, 0.766113, -0.566162, -0.320068, 1.206107, 1.641221, 0.526718
[Ard], 7045338, 0, 1638638748, 94, 0.763672, -0.565186, -0.318604, 1.282443, 1.748092, 0.450382
[Ard], 7082166, 0, 1638678268, 95, 0.766602, -0.568359, -0.322021, 1.137405, 1.832061, 0.549618
[Ard], 7122912, 0, 1638717788, 94, 0.766846, -0.572021, -0.314941, 1.122137, 1.679389, 0.450382
[Ard], 7205112, 0, 1638757308, 95, 0.769775, -0.570312, -0.310303, 1.190840, 1.763359, 0.412214
[Ard], 7209502, 0, 1638796828, 94, 0.763672, -0.559326, -0.317627, 1.122137, 1.763359, 0.458015
[Ard], 7252141, 0, 1638836348, 94, 0.760254, -0.566895, -0.311279, 1.312977, 1.656489, 0.442748
[Ard], 7297674, 0, 1638875868, 95, 0.766602, -0.569824, -0.317383, 1.259542, 1.893130, 0.511450
[Ard], 7340950, 0, 1638915388, 94, 0.767334, -0.569092, -0.326660, 1.183206, 1.664122, 0.442748
[Ard], 7381338, 0, 1638954908, 95, 0.771240, -0.568115, -0.314453, 1.206107, 1.656489, 0.274809
[Ard], 7389663, 0, 1638994428, 94, 0.766357, -0.568115, -0.320557, 1.244275, 1.610687, 0.366412
[Ard], 7438879, 0, 1639033948, 94, 0.766846, -0.566406, -0.313232, 1.160305, 1.687023, 0.381679
[Ard], 7496773, 0, 1639073468, 95, 0.761719, -0.569092, -0.317871, 1.206107, 1.633588, 0.557252
[Ard], 7522061, 0, 1639112988, 94, 0.768799, -0.573242, -0.317871, 1.274809, 1.755725, 0.633588
[Ard], 7570199, 0, 1639152508, 95, 0.762695, -0.569336, -0.313965, 1.305344, 1.763359, 0.381679
[Ard], 7617930, 0, 1639192028, 94, 0.765381, -0.568359, -0.313721, 1.274809, 1.679389, 0.381679
[Ard], 7662409, 0, 1639231548, 94, 0.758545, -0.570801, -0.318848, 1.297710, 1.809160, 0.389313
[Ard], 7665347, 0, 1639271068, 95, 0.763184, -0.567139, -0.316406, 1.152672, 1.816794, 0.374046
[Ard], 7714210, 0, 1639310588, 94, 0.768555, -0.569824, -0.316895, 1.198473, 1.740458, 0.458015
[Ard], 7787556, 0, 1639350108, 95, 0.770996, -0.569824, -0.318359, 1.335878, 1.648855, 0.412214
[Ard], 7834369, 0, 1639389628, 94, 0.765869, -0.568604, -0.317871, 1.160305, 1.839695, 0.503817
[Ard], 7868545, 0, 1639429148, 94, 0.768311, -0.567139, -0.317871, 1.099237, 1.786260, 0.419847
[Ard], 7887239, 0, 1639468668, 95, 0.769043, -0.570068, -0.318115, 1.259542, 1.702290, 0.427481
[Ard], 7939579, 0, 1639508188, 94, 0.769287, -0.571777, -0.319092, 1.236641, 1.847328, 0.480916
[Ard], 7967080, 0, 1639547708, 95, 0.769531, -0.563721, -0.316162, 1.274809, 1.603053, 0.320611
[Ard], 7986531, 0, 1639587228, 94, 0.769775, -0.568115, -0.316406, 1.236641, 1.923664, 0.381679
[Ard], 8028056, 0, 1639626748, 94, 0.769287, -0.574951, -0.320557, 1.175573, 1.618321, 0.320611
[Ard], 8076476, 0, 1639666268, 95, 0.769043, -0.568359, -0.310791, 1.335878, 1.725191, 0.458015
[Ard], 8115679, 0, 1639705788, 94, 0.768555, -0.565186, -0.322021, 0.984733, 1.732824, 0.343511
